Simulation	Best_Replicate	log-likelihood	theta	sfs_sum	chi-squared	optimized_params
19	Round_4_Replicate_3	-1013.67	1516.95	23625.88	924.53	7.8893,5.437,0.293,23.1221,8.684,0.4986,1.1289,0.1133
20	Round_4_Replicate_2	-1225.53	2041.84	23388.86	3172.62	3.0641,0.6768,1.5627,5.8948,0.3555,1.4053,0.1421,0.5392
21	Round_4_Replicate_2	-2505.01	2439.53	23389.68	38028.06	1.6654,0.7507,1.3127,4.0735,0.5742,4.1706,0.0612,0.7262
22	Round_4_Replicate_2	-1560.43	1312.91	23617.8	3964.63	0.5209,14.5194,2.9591,6.9738,0.1637,0.8873,0.148,1.3963
23	Round_4_Replicate_1	-1034.12	2268.72	23479.18	955.89	7.5718,1.0979,0.3759,4.8467,5.753,0.051,0.2229,0.621
24	Round_4_Replicate_3	-1540.49	1553.41	23371.81	1807.83	0.5838,0.5565,1.3009,4.7338,1.0301,0.3853,0.2368,1.5725
25	Round_4_Replicate_1	-1744.24	1893.65	23397.72	6808.03	0.9098,7.1681,1.0737,5.0466,1.5305,2.1759,0.6381,0.3195
26	Round_4_Replicate_4	-898.41	2555.94	23505.61	763.67	1.1405,0.8885,0.7956,6.4806,2.768,0.4243,0.1451,0.3035
27	Round_4_Replicate_1	-1364.38	2066.22	23410.56	2168.52	1.954,1.3382,2.9748,7.04,0.3406,0.2363,0.1173,0.3837
28	Round_4_Replicate_5	-913.87	2069.7	23519.71	676.34	0.5169,4.7057,0.5685,5.047,3.7202,0.0962,0.2078,0.5667
29	Round_4_Replicate_5	-969.73	2089.71	23481.1	870.61	0.6201,2.6351,1.8282,6.63,0.8454,0.3174,0.2195,0.3482
30	Round_4_Replicate_4	-2140.38	1105.22	23658.12	10459.78	0.1443,2.9636,2.3974,7.7289,0.1969,1.3428,3.6163,2.7882
31	Round_4_Replicate_1	-2552.72	2563.12	23619.97	8583.03	2.1022,11.8555,0.8016,3.1832,0.4432,3.1151,0.6822,2.6475
32	Round_4_Replicate_1	-1120.9	1470.24	23508.24	1224.38	0.3521,1.1557,1.9768,7.8895,0.6977,0.2508,0.1626,0.9656
33	Round_4_Replicate_4	-1052.57	1165.72	23672.27	1025.87	24.2403,6.4586,0.9559,15.2431,1.7521,0.1598,1.1498,0.4233
34	Round_4_Replicate_5	-1126.24	2613.16	23302.66	1160.88	3.8458,2.2134,0.4607,4.4654,4.5064,0.6172,0.2249,0.2599
